video-dislikes,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count
292,Um Smartphone BARATO com 128GB no BRASIL? Esse PHILCO HIT P10 é bom? Unboxing e Impressões,https://www.youtube.com/watch?v=HmaRL18FqUU,21290,240946,2021-03-15T14:15:01Z,Gesiel Taveira,1472
48,🔋 6000 mAh e tela GIGANTE!! MOTO G9 POWER a pena? // Análise e Review Completo!,https://www.youtube.com/watch?v=Kjsxyw-9txQ,3401,52271,2020-12-10T20:55:55Z,EscolhaSegura,338
341,"Moto G9 Power, ENORME na BATERIA e TAMANHO",https://www.youtube.com/watch?v=JzYg8JAHhh8,15636,247528,2020-12-10T12:00:05Z,Canaltech,893
45,MOTO G9 POWER foca em quem quer MUITA BATERIA no seu retorno às raízes | Análise / Review,https://www.youtube.com/watch?v=i3UVx6jnSiA,3073,56454,2020-12-25T23:42:26Z,TudoCelular,371
334,CHEGOU! Motorola MOTO G9 POWER com FORÇA TOTAL? Unboxing e Impressões,https://www.youtube.com/watch?v=efbnQ2I3zIg,34967,419324,2020-12-10T12:00:09Z,Gesiel Taveira,1907
180,Motorola Moto G9 Play vs Moto G9 Power - QUAL COMPRAR? QUAL O MELHOR PRA VOCÊ? COMPARATIVO!,https://www.youtube.com/watch?v=kX2xqUDqfRA,20068,290832,2021-02-04T14:51:00Z,Gesiel Taveira,1108
247,Galaxy M31: o modelo mais competitivo da Samsung em 2020 [Análise/Review],https://www.youtube.com/watch?v=C2W1JgR50XA,15077,183921,2020-09-04T16:00:06Z,Canaltech,677
133,GALAXY M31: candidato a MELHOR CELULAR INTERMEDIÁRIO de 2020 tem poucos poréns | Análise / Review,https://www.youtube.com/watch?v=D0n0w7BIdlk,6145,151548,2020-08-11T15:24:12Z,TudoCelular,770
736,"Galaxy M31, o MELHOR SAMSUNG ""barato"" de 2020? Esse VOCÊ vai GOSTAR! Unboxing e Impressões",https://www.youtube.com/watch?v=bt2Xrm4Grl4,65560,934488,2020-07-10T14:25:01Z,Gesiel Taveira,5132
80,"Review GALAXY M31! O que REALMENTE IMPORTA, ELE TEM! SAMSUNG MANDOU BEM!",https://www.youtube.com/watch?v=Z_U42P0ys00,7226,93160,2020-07-25T14:35:33Z,Be!Tech,820
186,SAMSUNG GALAXY M31 // um INTERMEDIÁRIO com 6000mAh de BATERIA e 128GB de armazenamento!,https://www.youtube.com/watch?v=5JWFHfF4nGg,22040,304881,2020-07-09T21:19:36Z,EscolhaSegura,1413
72,SAMSUNG GALAXY M31 é a OPÇÃO do MOMENTO? Vale MESMO a pena? // Análise & Review Completo!,https://www.youtube.com/watch?v=uhZwOBzOSMI,7637,85525,2020-07-30T23:34:39Z,EscolhaSegura,688
31,Samsung GALAXY M31 ainda VALE A PENA em 2021? É um bom SMARTPHONE pra VOCÊ?,https://www.youtube.com/watch?v=Smv_2_bYn_4,8024,63065,2021-06-14T15:40:01Z,Gesiel Taveira,1118
420,"Samsung Galaxy M31, a linha ""acessível"" VOLTOU? [Unboxing/Hands-on]",https://www.youtube.com/watch?v=787sfe8R__w,17548,158365,2020-07-16T16:00:02Z,Canaltech,1242
120,"SAMSUNG GALAXY M31, celular INTERMEDIÁRIO de MAIOR BATERIA no Brasil | Hands-on",https://www.youtube.com/watch?v=pSd9LgpWmso,9442,144920,2020-07-08T15:08:07Z,TudoCelular,749
1153,OLHA ESSA BATERIA! - Galaxy M31,https://www.youtube.com/watch?v=B5wuXnBcPro,124744,1042417,2020-07-22T22:00:12Z,Coisa de Nerd,4164
57,Samsung Galaxy M31 é bom em jogos? - RODA LISO,https://www.youtube.com/watch?v=GSmgQhJR0Ws,6342,74348,2020-08-04T22:00:10Z,Oficina da Net,707
196,SAMSUNG GALAXY M31 - PRÓS E CONTRAS,https://www.youtube.com/watch?v=YTTS3xAXaiM,3575,75672,2020-07-17T13:30:06Z,Linuxbrs,393
63,"SAMSUNG GALAXY M31 - 63 DIAS DE USO, CHEGA NÉ???",https://www.youtube.com/watch?v=hcmQZd2Ff3g,4203,64729,2020-10-15T13:30:03Z,Linuxbrs,617
143,MOTOROLA ONE FUSION PLUS: um Hyper MELHORADO? | Análise / Review,https://www.youtube.com/watch?v=KJIadDXIThg,3847,86862,2020-08-12T17:47:07Z,TudoCelular,468
71,MOTOROLA ONE FUSION PLUS! Sem DÚVIDA o REI do CUSTO BENEFÍCIO da MOTOROLA! REVIEW!,https://www.youtube.com/watch?v=jzZLMpG59xs,7573,117468,2020-09-21T21:15:04Z,Be!Tech,746
18,"MOTOROLA ONE FUSION PLUS em 2021! Agora MAIS BARATO, vale a pena comprar? REVIEW/ANÁLISE",https://www.youtube.com/watch?v=yjVrU4tenzE,2029,57672,2021-01-06T21:00:31Z,Oficina da Net,321
122,MOTOROLA ONE FUSION PLUS! MUITOS ACERTOS em VÁRIOS SENTIDOS! BOA MOTOROLA! UNBOXING!,https://www.youtube.com/watch?v=F3WsSoo7TR8,9967,200034,2020-08-03T21:10:48Z,Be!Tech,1083
234,Motorola One Fusion e Fusion+ [Unboxing],https://www.youtube.com/watch?v=vkT1Rzy7TtE,20248,237605,2020-07-30T16:00:33Z,Canaltech,632
