iter	Passed	Remaining
794	35306	9104
795	35341	9057
796	35375	9010
797	35408	8962
798	35443	8916
799	35479	8869
800	35511	8822
801	35544	8775
802	35578	8728
803	35614	8682
804	35652	8636
805	35687	8589
806	35720	8542
807	35755	8496
808	35791	8450
809	35830	8404
810	35865	8358
811	35897	8311
812	35931	8264
813	35964	8218
814	36001	8172
815	36042	8127
816	36079	8081
817	36115	8035
818	36148	7988
819	36179	7941
820	36213	7895
821	36249	7849
822	36287	7804
823	36323	7758
824	36358	7712
825	36391	7666
826	36424	7619
827	36455	7572
828	36493	7527
829	36530	7482
830	36566	7436
831	36599	7390
832	36631	7343
833	36663	7297
834	36700	7252
835	36734	7206
836	36768	7160
837	36802	7114
838	36834	7068
839	36867	7022
840	36902	6976
841	36940	6931
842	36975	6886
843	37010	6840
844	37041	6794
845	37074	6748
846	37107	6702
847	37139	6657
848	37174	6611
849	37209	6566
850	37244	6521
851	37277	6475
852	37309	6429
853	37343	6384
854	37376	6338
855	37414	6294
856	37448	6248
857	37483	6203
858	37515	6157
859	37544	6111
860	37608	6071
861	37656	6028
862	37694	5983
863	37728	5938
864	37776	5895
865	37819	5851
866	37854	5806
867	37887	5761
868	37923	5716
869	37956	5671
870	37988	5626
871	38022	5581
872	38054	5535
873	38091	5491
874	38126	5446
875	38159	5401
876	38193	5356
877	38225	5311
878	38260	5266
879	38291	5221
880	38327	5176
881	38362	5132
882	38397	5087
883	38429	5042
884	38460	4997
885	38490	4952
886	38520	4907
887	38556	4862
888	38591	4818
889	38627	4774
890	38659	4729
891	38689	4684
892	38718	4639
893	38750	4594
894	38781	4549
895	38814	4505
896	38847	4460
897	38880	4416
898	38912	4371
899	38943	4327
900	38977	4282
901	39010	4238
902	39042	4193
903	39074	4149
904	39106	4105
905	39135	4060
906	39166	4015
907	39197	3971
908	39229	3927
909	39261	3882
910	39293	3838
911	39323	3794
912	39354	3750
913	39388	3706
914	39421	3662
915	39455	3618
916	39489	3574
917	39520	3530
918	39550	3485
919	39581	3441
920	39613	3397
921	39645	3353
922	39677	3310
923	39710	3266
924	39741	3222
925	39770	3178
926	39799	3134
927	39831	3090
928	39863	3046
929	39899	3003
930	39930	2959
931	39961	2915
932	39991	2871
933	40023	2828
934	40054	2784
935	40087	2741
936	40122	2697
937	40154	2654
938	40184	2610
939	40213	2566
940	40243	2523
941	40275	2479
942	40307	2436
943	40340	2393
944	40372	2349
945	40405	2306
946	40435	2263
947	40464	2219
948	40497	2176
949	40529	2133
950	40562	2089
951	40629	2048
952	40670	2005
953	40703	1962
954	40737	1919
955	40770	1876
956	40802	1833
957	40845	1790
958	40879	1747
959	40912	1704
960	40943	1661
961	40976	1618
962	41009	1575
963	41043	1532
964	41076	1489
965	41108	1446
966	41140	1403
967	41169	1360
968	41202	1318
969	41235	1275
970	41269	1232
971	41299	1189
972	41328	1146
973	41357	1103
974	41386	1061
975	41419	1018
976	41453	975
977	41485	933
978	41516	890
979	41546	847
980	41577	805
981	41608	762
982	41642	720
983	41673	677
984	41706	635
985	41736	592
986	41767	550
987	41799	507
988	41830	465
989	41862	422
990	41894	380
991	41928	338
992	41958	295
993	41989	253
994	42019	211
995	42050	168
996	42084	126
997	42120	84
998	42162	42
999	42197	0
